Car Name,Rating,Exterior & Body,Engine/Transmission/Clutch,Suspension/Steering,Interior,AC/Heater,Price,Model Date,Mileage,Fuel Type,Transmission,Last Updated Date,Offer URL
Daihatsu Mira B,9.5/10,88%,100%,100%,89%,100%,PKR 36 lacs,2021.0,"27,622 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/daihatsu-mira-2021-for-sale-in-islamabad-8109532
Nissan Note 1.2E,9.5/10,87%,100%,100%,98%,100%,PKR 59.5 lacs,2020.0,"56,341 km",Hybrid,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/nissan-note-2020-for-sale-in-islamabad-8131744
Toyota Yaris ATIV CVT 1.3,9.2/10,77%,100%,100%,93%,100%,PKR 43.5 lacs,2020.0,"45,945 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2020-for-sale-in-lahore-8147348
Toyota Land Cruiser ZX,9.1/10,69%,100%,100%,100%,100%,PKR 4.2 crore,2016.0,"101,149 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-land-cruiser-2016-for-sale-in-gujranwala-7917632
Toyota Yaris ATIV MT 1.3,9.5/10,87%,100%,100%,97%,100%,PKR 40 lacs,2021.0,"28,165 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-gujranwala-7933828
Toyota Corolla Altis X Automatic 1.6,9.6/10,90%,100%,100%,95%,100%,PKR 57.5 lacs,2021.0,"45,449 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-gujranwala-7963198
Toyota Yaris ATIV X CVT 1.5,9.0/10,68%,100%,96%,97%,100%,PKR 44 lacs,2021.0,"45,755 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-gujranwala-7974217
Toyota Fortuner 2.8 Sigma 4,9.3/10,78%,100%,100%,100%,100%,PKR 1.8 crore,2021.0,"8,446 km",Diesel,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-lahore-7968898
Suzuki Alto VXR,9.8/10,95%,100%,100%,100%,100%,PKR 25 lacs,2022.0,"45,703 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-7957829
Haval Jolion Top,9.8/10,95%,100%,100%,100%,100%,PKR 86 lacs,2022.0,"14,877 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/haval-jolion-2022-for-sale-in-lahore-8130768
Suzuki Cultus VXR,8.5/10,52%,100%,100%,97%,100%,PKR 25.5 lacs,2018.0,"156,505 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2018-for-sale-in-lahore-7929493
Audi A6 1.8 TFSI,9.3/10,80%,100%,100%,98%,100%,PKR 1.75 crore,2018.0,"52,754 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/audi-a6-2018-for-sale-in-lahore-7980237
Honda Civic RS,9.9/10,99%,100%,100%,100%,100%,PKR 93 lacs,2022.0,"9,014 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-lahore-8118356
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,9.4/10,82%,100%,100%,100%,100%,PKR 68.5 lacs,2022.0,"29,950 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-lahore-8065083
Honda Civic Oriel 1.8 i-VTEC CVT,8.9/10,69%,98%,100%,91%,100%,PKR 71.5 lacs,2021.0,"52,253 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-8004316
Suzuki Cultus VXL,8.9/10,65%,100%,100%,97%,100%,PKR 33 lacs,2021.0,"27,030 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-lahore-7988631
Hyundai Sonata 2.5,9.9/10,96%,100%,100%,100%,100%,PKR 1.14 crore,,"2,556 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/hyundai-sonata-2023-for-sale-in-gujranwala-8033439
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,9.5/10,91%,100%,100%,95%,100%,PKR 67.5 lacs,2021.0,"61,416 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-peshawar-7861252
Range Rover Vogue P400e,9.6/10,94%,100%,100%,98%,100%,PKR 12 crore,2021.0,"46,403 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/range-rover-vogue-2021-for-sale-in-faisalabad-7923643
Honda HR-V VTi-S,9.9/10,98%,100%,100%,100%,100%,PKR 73 lacs,2022.0,"14,425 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-hr-v-2022-for-sale-in-faisalabad-8051148
Suzuki Swift GLX CVT,9.5/10,85%,100%,100%,100%,100%,PKR 45 lacs,2022.0,"10,174 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-swift-2022-for-sale-in-peshawar-8019893
KIA Sportage FWD,9.9/10,99%,100%,100%,97%,100%,PKR 79 lacs,2021.0,"8,719 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-gujranwala-7977409
KIA Sorento 3.5 FWD,9.3/10,81%,100%,100%,100%,100%,PKR 96 lacs,2022.0,"32,986 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-sorento-2022-for-sale-in-faisalabad-8014926
Peugeot 2008 Allure,10-Oct,100%,100%,100%,100%,100%,PKR 78.9 lacs,,11 km,Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/peugeot-2008-2023-for-sale-in-gujranwala-7973512
Suzuki Hustler G,9.4/10,82%,100%,100%,95%,100%,PKR 39 lacs,2020.0,"31,657 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-hustler-2020-for-sale-in-gujranwala-8040478
Daihatsu Move L SA 3,9.2/10,79%,100%,100%,95%,100%,PKR 35 lacs,2020.0,"31,607 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/daihatsu-move-2020-for-sale-in-gujranwala-8080413
KIA Sportage FWD,9.5/10,86%,100%,100%,100%,100%,PKR 70 lacs,2021.0,"33,847 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-faisalabad-8007658
Hyundai Sonata 2.5,9.9/10,98%,100%,100%,100%,100%,PKR 1.07 crore,2022.0,"4,329 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/hyundai-sonata-2022-for-sale-in-lahore-8130770
Suzuki Cultus Auto Gear Shift,9.1/10,74%,100%,100%,95%,100%,PKR 37.5 lacs,2022.0,"14,542 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2022-for-sale-in-lahore-8128305
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,9.0/10,70%,100%,96%,92%,100%,PKR 71 lacs,2022.0,"24,278 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-lahore-7972676
MG HS 1.5 Turbo,8.8/10,64%,100%,100%,95%,100%,PKR 65 lacs,2020.0,"31,124 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/mg-hs-2020-for-sale-in-lahore-7979933
Daihatsu Cast Sport Turbo SA III,9.6/10,93%,100%,100%,97%,100%,PKR 39 lacs,2020.0,"10,150 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/daihatsu-cast-2020-for-sale-in-gujranwala-8047475
KIA Picanto 1.0 MT,9.4/10,79%,100%,100%,100%,100%,PKR 28 lacs,2021.0,"21,900 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-picanto-2021-for-sale-in-gujranwala-8085926
KIA Sportage Alpha,9.8/10,92%,100%,100%,100%,100%,PKR 64.5 lacs,2021.0,"45,810 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-gujranwala-8049835
Toyota Prado TX Limited 2.7,9.2/10,78%,100%,100%,100%,100%,PKR 3.1 crore,2018.0,"41,610 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-prado-2018-for-sale-in-gujranwala-8018403
KIA Picanto 1.0 MT,9.2/10,75%,100%,96%,100%,100%,PKR 26.5 lacs,2021.0,"33,819 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-picanto-2021-for-sale-in-gujranwala-8102851
Proton X70 Premium FWD,9.4/10,82%,100%,100%,95%,100%,PKR 84.5 lacs,,"9,468 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/proton-x70-2023-for-sale-in-peshawar-8041299
Toyota Corolla Altis X Manual 1.6,9.4/10,83%,100%,100%,97%,100%,PKR 55 lacs,2022.0,"38,677 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-gujranwala-8006486
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,9.5/10,83%,100%,100%,100%,100%,PKR 65 lacs,2021.0,"73,318 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-gujranwala-8105825
Hyundai Tucson AWD A/T Ultimate,9.8/10,96%,100%,100%,100%,100%,PKR 83 lacs,2021.0,"78,350 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/hyundai-tucson-2021-for-sale-in-peshawar-7977821
Toyota Fortuner 2.7 G,9.4/10,81%,100%,100%,100%,100%,PKR 1.45 crore,2022.0,"12,298 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-faisalabad-8030011
KIA Sportage FWD,9.4/10,83%,100%,100%,98%,100%,PKR 65.6 lacs,2020.0,"32,391 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-faisalabad-8057597
Suzuki Alto VX,9.4/10,88%,100%,100%,97%,84%,PKR 22 lacs,2021.0,"32,317 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-faisalabad-8087762
KIA Picanto 1.0 MT,9.6/10,91%,100%,100%,90%,100%,PKR 27 lacs,2021.0,"41,626 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-picanto-2021-for-sale-in-faisalabad-7973119
Toyota Corolla Altis Automatic 1.6,8.5/10,53%,98%,100%,96%,100%,PKR 47.5 lacs,2019.0,"114,359 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-faisalabad-8054535
Suzuki Every Wagon,9.4/10,87%,100%,100%,85%,100%,PKR 28 lacs,2018.0,"132,542 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-every-wagon-2018-for-sale-in-lahore-7954188
KIA Sportage AWD,9.8/10,93%,100%,100%,100%,100%,PKR 82 lacs,2022.0,"20,252 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2022-for-sale-in-lahore-7984646
KIA Sportage AWD,10-Oct,100%,100%,100%,100%,100%,PKR 83.5 lacs,2021.0,"10,258 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-lahore-8061747
Honda Civic Oriel 1.8 i-VTEC CVT,9.7/10,93%,100%,100%,94%,100%,PKR 71 lacs,2021.0,"22,834 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-8112050
KIA Picanto 1.0 AT,9.5/10,88%,100%,96%,97%,100%,PKR 33 lacs,2022.0,"23,860 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-picanto-2022-for-sale-in-lahore-8124784
Honda Insight EX Black Style,8.9/10,67%,100%,100%,94%,100%,PKR 1.1 crore,2020.0,"7,327 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-insight-2020-for-sale-in-lahore-8064033
Honda Civic Oriel 1.8 i-VTEC CVT,9.9/10,97%,100%,100%,100%,100%,PKR 74 lacs,2021.0,"19,150 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-8088446
KIA Picanto 1.0 AT,10-Oct,99%,100%,100%,100%,100%,PKR 35 lacs,2022.0,"1,491 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-picanto-2022-for-sale-in-lahore-8103660
Honda Civic Oriel 1.8 i-VTEC CVT,8.5/10,51%,100%,100%,92%,100%,PKR 58 lacs,2020.0,"302,281 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-islamabad-8115216
KIA Sportage AWD,9.7/10,90%,100%,100%,100%,100%,PKR 73.5 lacs,2021.0,"19,616 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-islamabad-8076299
KIA Sportage FWD,9.7/10,91%,100%,100%,100%,100%,PKR 72 lacs,2021.0,"30,988 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-islamabad-7973538
Honda Civic Oriel 1.8 i-VTEC CVT,9.6/10,92%,98%,100%,91%,100%,PKR 57 lacs,2019.0,"66,144 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-islamabad-8070851
Dodge Challenger R/T,9.9/10,98%,100%,100%,100%,100%,PKR 3 crore,2016.0,"13,817 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/dodge-challenger-2016-for-sale-in-islamabad-7982526
Suzuki Cultus VXL,9.3/10,87%,100%,100%,85%,100%,PKR 33 lacs,2021.0,"54,987 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-islamabad-8137189
Suzuki Swift GL Manual,9.6/10,85%,100%,100%,100%,100%,PKR 42 lacs,,"6,882 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-swift-2023-for-sale-in-islamabad-8039707
Toyota Fortuner 2.8 Sigma 4,9.2/10,77%,100%,100%,98%,100%,PKR 1.6 crore,2021.0,"33,028 km",Diesel,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-faisalabad-8006500
Toyota Corolla Altis X Automatic 1.6 Special Edition,9.8/10,97%,100%,100%,95%,100%,PKR 61 lacs,2021.0,"42,999 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-islamabad-8125431
MG HS 1.5 Turbo,9.4/10,84%,100%,100%,98%,100%,PKR 65.5 lacs,2021.0,"26,712 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-faisalabad-8037357
MG HS 1.5 Turbo,9.3/10,75%,100%,100%,100%,100%,PKR 75 lacs,2022.0,"5,687 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/mg-hs-2022-for-sale-in-faisalabad-8131611
Toyota Premio F 1.5,9.3/10,82%,100%,100%,98%,100%,PKR 90 lacs,2017.0,"40,275 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-premio-2017-for-sale-in-faisalabad-8135629
KIA Stonic EX+,9.9/10,98%,100%,100%,100%,100%,PKR 57.5 lacs,2022.0,"6,130 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-stonic-2022-for-sale-in-gujranwala-7985046
KIA Picanto 1.0 AT,9.6/10,88%,100%,100%,100%,100%,PKR 35 lacs,2022.0,"5,485 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-picanto-2022-for-sale-in-peshawar-7982578
Changan Karvaan Plus,9.7/10,89%,100%,100%,100%,100%,PKR 28 lacs,,"8,345 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/changan-karvaan-2023-for-sale-in-faisalabad-8141172
Daihatsu Mira LSA 3,9.7/10,93%,100%,100%,95%,100%,PKR 35.5 lacs,2020.0,"16,909 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/daihatsu-mira-2020-for-sale-in-peshawar-8107417
MG HS 1.5 Turbo,9.8/10,95%,100%,100%,98%,100%,PKR 77 lacs,2021.0,"32,085 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-8135609
Toyota Yaris ATIV MT 1.3,9.8/10,97%,100%,100%,97%,100%,PKR 42.5 lacs,2022.0,"14,539 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2022-for-sale-in-islamabad-8075388
Toyota Fortuner 2.7 V,10-Oct,100%,100%,100%,100%,100%,PKR 1.74 crore,2022.0,"1,865 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-islamabad-8043169
Toyota Fortuner 2.7 VVTi,9.7/10,91%,100%,100%,95%,100%,PKR 1.25 crore,2018.0,"62,645 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-fortuner-2018-for-sale-in-islamabad-8089211
Toyota Corolla Altis X Automatic 1.6,9.9/10,97%,100%,100%,100%,100%,PKR 61.5 lacs,2022.0,"7,007 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-islamabad-8069960
Suzuki Cultus VXR,9.2/10,74%,100%,100%,97%,100%,PKR 31.75 lacs,2022.0,"36,583 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2022-for-sale-in-islamabad-8056782
Toyota Land Cruiser ZX,9.6/10,89%,100%,100%,100%,100%,PKR 4.35 crore,2016.0,"51,213 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-land-cruiser-2016-for-sale-in-islamabad-8081505
Toyota Fortuner 2.7 VVTi,9.2/10,78%,100%,100%,91%,100%,PKR 1.2 crore,2017.0,"81,720 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-fortuner-2017-for-sale-in-islamabad-8054211
Honda Civic RS,9.8/10,95%,100%,100%,96%,100%,PKR 97.5 lacs,2022.0,"27,291 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-islamabad-8022998
Changan Oshan X7 FutureSense,10-Oct,98%,100%,100%,100%,100%,PKR 90 lacs,,513 km,Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/changan-oshan-x7-2023-for-sale-in-islamabad-8096993
Suzuki Cultus VXL,8.4/10,52%,98%,100%,87%,100%,PKR 27.8 lacs,2020.0,"66,234 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2020-for-sale-in-karachi-8063488
Toyota Corolla Axio G,8.5/10,49%,100%,100%,100%,100%,PKR 67.5 lacs,2017.0,"96,842 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-axio-2017-for-sale-in-karachi-8118827
Toyota Corolla Altis X Automatic 1.6 Special Edition,9.5/10,86%,98%,100%,92%,100%,PKR 63 lacs,2021.0,"15,653 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-lahore-8147411
Toyota Yaris Hatchback G 1.0,9.2/10,76%,100%,100%,100%,100%,PKR 47 lacs,2020.0,"115,195 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2020-for-sale-in-lahore-8064567
Hyundai Tucson FWD A/T GLS Sport,10-Oct,100%,100%,100%,100%,100%,PKR 85.5 lacs,,31 km,Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/hyundai-tucson-2023-for-sale-in-lahore-8009659
Daihatsu Mira X SA lll,9.4/10,81%,100%,100%,97%,100%,PKR 33.9 lacs,2020.0,"21,849 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/daihatsu-mira-2020-for-sale-in-gujranwala-8133763
Toyota C-HR S-LED,9.4/10,84%,100%,96%,96%,100%,PKR 87 lacs,2019.0,"39,108 km",Hybrid,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-c-hr-2019-for-sale-in-lahore-8086550
KIA Sportage FWD,10-Oct,100%,100%,100%,100%,100%,PKR 82.5 lacs,,"2,927 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2023-for-sale-in-lahore-8026118
MG HS 1.5 Turbo,9.4/10,83%,100%,100%,100%,100%,PKR 69.75 lacs,2021.0,"30,873 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-7979807
Hyundai Sonata 2.5,9.8/10,91%,100%,100%,100%,100%,PKR 1.03 crore,2022.0,"31,253 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/hyundai-sonata-2022-for-sale-in-lahore-8063547
Peugeot 2008 Allure,9.9/10,98%,100%,100%,100%,100%,PKR 69 lacs,2022.0,"20,016 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/peugeot-2008-2022-for-sale-in-lahore-7995782
Nissan Roox S Hybrid,9.8/10,95%,100%,100%,98%,100%,PKR 45 lacs,2022.0,"6,159 km",Hybrid,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/nissan-roox-2022-for-sale-in-lahore-8107644
Honda Civic Oriel,9.9/10,95%,100%,100%,100%,100%,PKR 94.5 lacs,,"2,155 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-civic-2023-for-sale-in-lahore-8015695
Changan Oshan X7 FutureSense,9.9/10,98%,100%,100%,100%,100%,PKR 91 lacs,,"6,232 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/changan-oshan-x7-2023-for-sale-in-lahore-8070686
Suzuki Cultus VXL,8.5/10,57%,98%,100%,90%,100%,PKR 33 lacs,2020.0,"34,270 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2020-for-sale-in-lahore-8087401
Changan Alsvin 1.5L DCT Lumiere,9.6/10,88%,100%,100%,97%,100%,PKR 39.95 lacs,2022.0,"18,229 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/changan-alsvin-2022-for-sale-in-lahore-7936487
Honda BR-V i-VTEC S,9.9/10,96%,100%,100%,96%,100%,PKR 56 lacs,2022.0,"11,174 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-br-v-2022-for-sale-in-lahore-7997503
Toyota Yaris ATIV X CVT 1.5,9.8/10,95%,100%,100%,97%,100%,PKR 52.5 lacs,,"18,500 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2023-for-sale-in-lahore-8040741
Suzuki Cultus VXL,9.7/10,91%,100%,100%,95%,100%,PKR 35 lacs,2021.0,"33,758 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-lahore-7932716
Mitsubishi EK Space Custom,9.2/10,79%,100%,100%,90%,100%,PKR 35.5 lacs,2020.0,"6,844 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/mitsubishi-ek-space-custom-2020-for-sale-in-lahore-8067004
Suzuki Alto VXR,8.0/10,34%,100%,100%,97%,100%,PKR 23.5 lacs,2022.0,"21,784 km",Petrol,,"Dec 01, 2023",https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-8039550
BMW 7 Series i7 xDrive60 Excellence,10-Oct,100%,100%,100%,100%,100%,PKR 8.2 crore,,21 km,,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/bmw-7-series-2023-for-sale-in-lahore-8104125
Honda City 1.5L ASPIRE CVT,9.7/10,92%,100%,100%,100%,100%,PKR 49 lacs,2021.0,"27,843 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-lahore-8081440
KIA Stonic EX+,9.8/10,96%,100%,100%,100%,100%,PKR 54.5 lacs,2022.0,"20,712 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/kia-stonic-2022-for-sale-in-lahore-8076664
Toyota Corolla Altis X Automatic 1.6,9.6/10,92%,98%,100%,97%,100%,PKR 58 lacs,2022.0,"28,324 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-lahore-8045932
BMW X1 sDrive18i,9.5/10,87%,100%,96%,100%,100%,PKR 95 lacs,2018.0,"40,817 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/bmw-x1-2018-for-sale-in-lahore-8108741
Honda Civic Oriel 1.8 i-VTEC CVT,8.9/10,65%,100%,100%,98%,100%,PKR 64 lacs,2020.0,"21,980 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-8012784
Honda Civic Oriel 1.8 i-VTEC CVT,8.6/10,58%,98%,100%,88%,100%,PKR 50.5 lacs,2017.0,"129,085 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-lahore-8047074
Honda Civic Oriel 1.8 i-VTEC CVT,9.4/10,82%,100%,100%,94%,100%,PKR 64 lacs,2020.0,"64,485 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-8072744
DFSK Glory 580 Pro,9.7/10,91%,100%,100%,100%,100%,PKR 60 lacs,2021.0,"28,909 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-7992526
Proton Saga 1.3L Ace A/T,9.3/10,86%,98%,100%,98%,100%,PKR 31.75 lacs,2022.0,"22,876 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/proton-saga-2022-for-sale-in-lahore-8063349
Toyota Yaris ATIV X CVT 1.5,9.7/10,91%,100%,100%,97%,100%,PKR 53 lacs,2022.0,"6,649 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2022-for-sale-in-lahore-7992362
Honda City 1.5L CVT,9.3/10,81%,100%,100%,90%,100%,PKR 48 lacs,2022.0,"17,158 km",Petrol,Automatic,"Dec 01, 2023",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-lahore-8033547
